cms_certification_num,payer,code,internal_revenue_code,description,inpatient_outpatient,price,code_disambiguator
20001,GROSS CHARGE,C1876,Px0000085419L,HC ICAST STENT 9X59X120,BOTH,12652.0,NONE
20001,GROSS CHARGE,C1876,Px0000085424L,HC ICAST STENT 9X38X120,BOTH,11742.0,NONE
20001,GROSS CHARGE,L1830,Px0000100031L,HC KNEE IMMOBILIZER STRAIGHT,BOTH,73.0,NONE
20001,GROSS CHARGE,NONE,Px0000104068L,HC CATH UMBILICAL ART W/LL 5FR 8888160341,BOTH,108.0,NONE
20001,GROSS CHARGE,C1765,Px0000104075L,HC INTERCEED 3X4 4350,BOTH,2997.0,NONE
20001,GROSS CHARGE,C1729,Px0000105784L,HC SET PNEUMOTHORAX G03301,BOTH,1637.0,NONE
20001,GROSS CHARGE,NONE,Px0000105920L,HC BAG DRAIN CSF 116A 910116A,BOTH,226.0,NONE
20001,GROSS CHARGE,C1819,Px0000106300L,HC NDL KOPAN HOOK 20GA 5CM G02586,BOTH,186.0,NONE
20001,GROSS CHARGE,L0120,Px0000106771L,HC CERVICAL COLLAR,BOTH,26.0,NONE
20001,GROSS CHARGE,L3265,Px0000106900L,HC POST-OP SHOE,BOTH,5.0,NONE
20001,GROSS CHARGE,NONE,Px0000109283L,HC CATH FOLEY 10FR 03CC LX LUB 0165PL10,BOTH,48.0,NONE
20001,GROSS CHARGE,NONE,Px0000109285L,HC CATH FOLEY 10FR 03CC SILICONE 165810,BOTH,24.0,NONE
20001,GROSS CHARGE,C1758,Px0000109287L,HC CATH FOLEY 12FR 05CC LX LUB,BOTH,25.0,NONE
20001,GROSS CHARGE,NONE,Px0000109292L,HC CATH FOLEY 14FR 05CC LX LUB 0165L14,BOTH,25.0,NONE
20001,GROSS CHARGE,NONE,Px0000109301L,HC CATH FOLEY 16FR 05CC LX LUB 0165L16,BOTH,25.0,NONE
20001,GROSS CHARGE,NONE,Px0000109315L,HC CATH FOLEY 18FR 05CC LX LUB 0165L18,BOTH,25.0,NONE
20001,GROSS CHARGE,NONE,Px0000109321L,HC CATH FOLEY 18FR 30CC 3W LX LUB 0167L18,BOTH,63.0,NONE
20001,GROSS CHARGE,NONE,Px0000109325L,HC CATH FOLEY 18FR 30CC LX LUB 0166L18,BOTH,28.0,NONE
20001,GROSS CHARGE,C1758,Px0000109335L,HC CATH FOLEY 20FR 05CC LX LUB,BOTH,25.0,NONE
20001,GROSS CHARGE,NONE,Px0000109340L,HC CATH FOLEY 20FR 30CC LX LUB 0166L20,BOTH,28.0,NONE
20001,GROSS CHARGE,NONE,Px0000109349L,HC CATH FOLEY 22FR 05CC LX LUB 0165L22,BOTH,25.0,NONE
20001,GROSS CHARGE,C1758,Px0000109350L,HC CATH FOLEY 22FR 30CC 3W LX LUB,BOTH,63.0,NONE
20001,GROSS CHARGE,C1758,Px0000109356L,HC CATH FOLEY 22FR 30CC LX LUB,BOTH,28.0,NONE
20001,GROSS CHARGE,NONE,Px0000109363L,HC CATH FOLEY 24FR 05CC LX LUB 0165L24,BOTH,25.0,NONE
20001,GROSS CHARGE,NONE,Px0000109365L,HC CATH FOLEY 24FR 30CC 3W LX LUB 0167L24,BOTH,63.0,NONE
20001,GROSS CHARGE,NONE,Px0000109367L,HC CATH FOLEY 24FR 30CC LX LUB 0166L24,BOTH,28.0,NONE
20001,GROSS CHARGE,NONE,Px0000109372L,HC CATH FOLEY 26FR 05CC LX LUB 0165L26,BOTH,25.0,NONE
20001,GROSS CHARGE,NONE,Px0000109373L,HC CATH FOLEY 26FR 30CC 3W LX LUB 0167L26,BOTH,63.0,NONE
