internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px0000105641L,HC CATH AIRWY CRICO 6.0MMX7.5CM,C1769,GROSS CHARGE,1305.0,BOTH,500019,NONE
Px0000128898L,HC NDL BIOP COAX ACHIEVE 14G 11CM CA1411,NONE,GROSS CHARGE,396.0,BOTH,500019,NONE
Px0000217954L,HC MICRO INTRODUCER 4.5FR/5FR 678950,C1894,GROSS CHARGE,256.0,BOTH,500019,NONE
Px0000219308L,HC TRAY DRAIN SAFE-T-CENTESIS 6F PIG1260T,C1729,GROSS CHARGE,430.0,BOTH,500019,NONE
Px0000231047L,HC NDL CATH YUEH 5FR 19GA 10CM G09490,NONE,GROSS CHARGE,98.0,BOTH,500019,NONE
Px0000239820L,HC PORTACATH KIT 0602660,C1788,GROSS CHARGE,1438.0,BOTH,500019,NONE
Px0000239824L,HC KIT GROSHONG SL 4FR,C1751,GROSS CHARGE,486.0,BOTH,500019,NONE
Px0000246020L,HC EXTRACTOR KATZ FB5000,NONE,GROSS CHARGE,429.0,BOTH,500019,NONE
Px0000295139L,HC NDL SET EZ-IO PD 3-39 KG 9018VC005,NONE,GROSS CHARGE,1029.0,BOTH,500019,NONE
Px0000295140L,HC NDL SET EZ-IO AD 40-UP KG 9001VC005,NONE,GROSS CHARGE,1029.0,BOTH,500019,NONE
Px0000306682L,HC KIT CATH CVC W/CHL 3-LUM 7FR X 8 CDC45703P1A,NONE,GROSS CHARGE,713.0,BOTH,500019,NONE
Px0000307940L,HC MARKER TISSUE ULTRACLIP2 COIL 864017,A4648,GROSS CHARGE,474.0,BOTH,500019,NONE
Px0000308935L,HC INTRODUCER MICRO-EZ 5FR 7CM 0928950,C1894,GROSS CHARGE,251.0,BOTH,500019,NONE
Px0000309595L,HC CLIP SECURMARK,A4648,GROSS CHARGE,512.0,BOTH,500019,NONE
Px0000309849L,HC KIT POWER PORT PICC 4FR SL 9194108,C1751,GROSS CHARGE,1272.0,BOTH,500019,NONE
Px0000349450L,HC MARKER BIOPSY SITE 1ST SMARKEVIVA13,A4648,GROSS CHARGE,512.0,BOTH,500019,NONE
Px0000354770L,HC CATH GROSHONG PICC NXT 5FR DL,C1751,GROSS CHARGE,1468.0,BOTH,500019,NONE
