internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px0000101283L,HC MAXCORE INST BX 14GX10CM MC1410,NONE,GROSS CHARGE,245.0,BOTH,500014,NONE
Px0000104075L,HC INTERCEED 3X4 4350,C1765,GROSS CHARGE,2765.0,BOTH,500014,NONE
Px0000106035L,HC HEMOSTATIC SURGICEL 4X8 1952,NONE,GROSS CHARGE,726.0,BOTH,500014,NONE
Px0000106049L,HC KIT COMPLETE INTRACRANIAL 1104BC,NONE,GROSS CHARGE,9444.0,BOTH,500014,NONE
Px0000109716L,HC TUBE MINNESOTA 0092220,NONE,GROSS CHARGE,2622.0,BOTH,500014,NONE
Px0000110319L,HC MICROPUNCT 4FR SS/SS G04636,C1894,GROSS CHARGE,330.0,BOTH,500014,NONE
Px0000112331L,HC GWIRE BILI JAG STR .035X450 M00556581,C1769,GROSS CHARGE,900.0,BOTH,500014,NONE
Px0000112421L,HC CATH BILI COT DIL 10FR 200CM,C2617,GROSS CHARGE,558.0,BOTH,500014,NONE
Px0000112720L,HC GUIDEWIRE .035 X 68CM AW14735,C1769,GROSS CHARGE,87.0,BOTH,500014,NONE
Px0000113445L,HC GOLD PROBE CATHETER 7FR M00560070,NONE,GROSS CHARGE,1299.0,BOTH,500014,NONE
Px0000114834L,HC STENT BILI TANNEN 10FR 5CM,C2617,GROSS CHARGE,516.0,BOTH,500014,NONE
Px0000116334L,HC GUIDEWIRE TFE 035 180CM AES BH,C1769,GROSS CHARGE,239.0,BOTH,500014,NONE
Px0000118690L,HC KIT CSF CRANIAL ACCESS INTEGRA HITH1,NONE,GROSS CHARGE,4066.0,BOTH,500014,NONE
Px0000123656L,HC SET C.A.C.GASTRO. G02956,C1729,GROSS CHARGE,763.0,BOTH,500014,NONE
Px0000127226L,HC GLIDECATH 4FR 65CM ANGLE TAPER CG415,C1887,GROSS CHARGE,413.0,BOTH,500014,NONE
Px0000127687L,HC NDL COAXIAL ACHIEVE BIOPSY 18G X 11CM CA1811,NONE,GROSS CHARGE,438.0,BOTH,500014,NONE
Px0000128054L,HC GLIDEWIRE .035X150CM SS ANG GS3506,C1769,GROSS CHARGE,384.0,BOTH,500014,NONE
Px0000128898L,HC NDL BIOP COAX ACHIEVE 14G 11CM CA1411,NONE,GROSS CHARGE,438.0,BOTH,500014,NONE
Px0000137229L,HC SHEATH RAABE 7F 55CM G11633,C1893,GROSS CHARGE,340.0,BOTH,500014,NONE
Px0000138547L,HC DIL CRE ESOPH PYLORIC 8-10MM M00558460,C1726,GROSS CHARGE,1761.0,BOTH,500014,NONE
Px0000138548L,HC DIL CRE ESOPH PYLORIC 10-12MM M00558470,C1726,GROSS CHARGE,1761.0,BOTH,500014,NONE
Px0000139082L,HC SHEATH RAABE 6FR .038 55CM RB G11638,C1894,GROSS CHARGE,340.0,BOTH,500014,NONE
Px0000139181L,HC CATH SITESEER 5FR MP1,C1887,GROSS CHARGE,74.0,BOTH,500014,NONE
Px0000140055L,HC MICROKNIFE XL M00532810,NONE,GROSS CHARGE,1150.0,BOTH,500014,NONE
Px0000140328L,HC SHEATH FLEXOR RAABE RB 6F 70CM G11636,C1894,GROSS CHARGE,417.0,BOTH,500014,NONE
Px0000140737L,HC VALVE AIR WATER 140,NONE,GROSS CHARGE,858.0,BOTH,500014,NONE
Px0000140913L,HC CATH SITESEER 5FR AR2,C1887,GROSS CHARGE,74.0,BOTH,500014,NONE
Px0000140950L,HC STENT BILI OASIS INTRO 10FR G21739,C1876,GROSS CHARGE,541.0,BOTH,500014,NONE
Px0000142026L,HC CATH SITESEER 5FR AL2,C1887,GROSS CHARGE,74.0,BOTH,500014,NONE
