internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px00040210012,HC US EXAM KIDNEY TRANSPLANT W/DOPPLER,76776,GROSS CHARGE,1211.0,BOTH,500077,NONE
Px00040210013,HC US EXAM SPINAL CANAL & CONTENTS,76800,GROSS CHARGE,827.0,BOTH,500077,NONE
Px00040210014,HC US OB < 14 WKS SINGLE FETUS,76801,GROSS CHARGE,827.0,BOTH,500077,NONE
Px00040210015,HC US OB < 14 WKS ADDL FETUS,76802,GROSS CHARGE,513.0,BOTH,500077,NONE
Px00040210016,HC US OB >= 14 WKS SINGLE FETUS,76805,GROSS CHARGE,1424.0,BOTH,500077,NONE
Px00040210017,HC US OB>= 14 WKS ADDL FETUS,76810,GROSS CHARGE,2480.0,BOTH,500077,NONE
Px00040210018,HC US OB DETAILED SINGLE FETUS,76811,GROSS CHARGE,920.0,BOTH,500077,NONE
Px00040210019,HC US OB DETAILED ADDL FETUS,76812,GROSS CHARGE,439.0,BOTH,500077,NONE
Px00040210020,HC US OB NUCHAL MEASUREMENT 1 GEST,76813,GROSS CHARGE,1019.0,BOTH,500077,NONE
Px00040210021,HC US OB NUCHAL MEASUREMENT ADD GEST,76814,GROSS CHARGE,594.0,BOTH,500077,NONE
Px00042010050,HC TEAM CONF W/O PAT BY HC PRO,99368,GROSS CHARGE,108.0,BOTH,500077,NONE
Px00040210022,HC US OB LIMITED FETUS(S),76815,GROSS CHARGE,934.0,BOTH,500077,NONE
Px00040210023,HC US OB FOLLOW-UP PER FETUS,76816,GROSS CHARGE,1347.0,BOTH,500077,NONE
Px00040210024,HC US OB TRANSVAGINAL,76817,GROSS CHARGE,649.0,BOTH,500077,NONE
Px00040210025,HC US FETAL BIOPHYS PROFILE W/NST,76818,GROSS CHARGE,1416.0,BOTH,500077,NONE
Px00040210026,HC US FETAL BIOPHYS PROFILE W/O NST,76819,GROSS CHARGE,1286.0,BOTH,500077,NONE
Px00040210031,HC ECHO EXAM OF FETAL HEART W/ DOPPLER,76827,GROSS CHARGE,255.0,BOTH,500077,NONE
Px00040210032,HC ECHO OF FETAL HEART W/DOPPLER F/U OR REPEAT,76828,GROSS CHARGE,435.0,BOTH,500077,NONE
Px00040210033,HC US TRANSVAGINAL NON-OB,76830,GROSS CHARGE,1584.0,BOTH,500077,NONE
Px00040210034,HC ECHO EXAM UTERUS,76831,GROSS CHARGE,920.0,BOTH,500077,NONE
Px00040210035,HC US EXAM PELVIC FOLLICLE LIMITED,76857,GROSS CHARGE,886.0,BOTH,500077,NONE
Px00051010022,HC ET ESTAB PT VISIT - LEVEL 1,99211,GROSS CHARGE,257.0,BOTH,500077,NONE
Px00040210036,HC US EXAM SCROTUM & CONTENTS,76870,GROSS CHARGE,1605.0,BOTH,500077,NONE
Px00040210037,HC US TRANSRECTAL,76872,GROSS CHARGE,1571.0,BOTH,500077,NONE
Px00040210041,HC US EXT NON-VASC COMPLETE,76881,GROSS CHARGE,649.0,BOTH,500077,NONE
Px00040210043,HC US EXT NON-VASC LIMITED,76882,GROSS CHARGE,435.0,BOTH,500077,NONE
Px00040210045,HC US EXAM INFANT HIPS DYNAMIC,76885,GROSS CHARGE,1528.0,BOTH,500077,NONE
Px00040210046,HC US EXAM INFANT HIPS STATIC,76886,GROSS CHARGE,1528.0,BOTH,500077,NONE
Px00040210048,HC ECHO GUIDE FOR ARTERY REPAIR,76936,GROSS CHARGE,1227.0,BOTH,500077,NONE
