internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px00000239666,HC CATH OMNI FLUSH 5FR 65CM .038,C1887,GROSS CHARGE,72.0,BOTH,500058,NONE
Px00000646913,HC STENT VIABAHN VBX 8X39X80CM,C1874,GROSS CHARGE,7073.0,BOTH,500058,NONE
Px0000100880L,HC CATH FOGARTY 4FR 80CM,C1757,GROSS CHARGE,204.0,BOTH,500058,NONE
Px0000103953L,HC BIOP INST MONOPTY 18X16 121816,NONE,GROSS CHARGE,150.0,BOTH,500058,NONE
Px0000104016L,HC CATH HICKMAN DUAL LUMEN 13.5FR 0600662,C1750,GROSS CHARGE,598.0,BOTH,500058,NONE
Px0000104075L,HC INTERCEED 3X4 4350,C1765,GROSS CHARGE,1234.0,BOTH,500058,NONE
Px0000104473L,HC INTRODUCER ACCUSTICK 2-GW SET M001207020,C1894,GROSS CHARGE,271.0,BOTH,500058,NONE
Px0000106035L,HC HEMOSTATIC SURGICEL 4X8 1952,NONE,GROSS CHARGE,328.0,BOTH,500058,NONE
Px0000109184L,HC TUBE GASTRO MIC/PEG 16FR 20CC 010016LV,NONE,GROSS CHARGE,145.0,BOTH,500058,NONE
Px0000109401L,HC CATH FILIFORM FOLLOWER 10FR,NONE,GROSS CHARGE,189.0,BOTH,500058,NONE
Px0000109405L,HC CATH FILIFORM FOLLOWER 18FR,NONE,GROSS CHARGE,189.0,BOTH,500058,NONE
Px0000109406L,HC CATH FILIFORM FOLLOWER 22FR,NONE,GROSS CHARGE,189.0,BOTH,500058,NONE
Px0000109417L,HC CATH FILIFORM SPIRAL 6FR,C1725,GROSS CHARGE,128.0,BOTH,500058,NONE
Px0000109423L,HC CATH FILIFORM STR 2FR,C1725,GROSS CHARGE,128.0,BOTH,500058,NONE
Px0000113282L,HC KIT CSF FIBEROPTIC ICP CAMINO 1104B,NONE,GROSS CHARGE,2519.0,BOTH,500058,NONE
Px0000114849L,HC TUBE FEEDING MIC-KEY 24FR 3.5 01202435,NONE,GROSS CHARGE,328.0,BOTH,500058,NONE
Px0000114857L,HC TUBE TRANSGASTRIC JEJUN 18FR 025018,NONE,GROSS CHARGE,823.0,BOTH,500058,NONE
Px0000115789L,HC WIRE COIL PUSHER-16 M0014012160,NONE,GROSS CHARGE,505.0,BOTH,500058,NONE
Px0000115848L,HC GUIDEWIRE BENTSON .035 145CM,C1769,GROSS CHARGE,61.0,BOTH,500058,NONE
Px0000116014L,HC CATH PICC PER Q W/O STYL 2FR,NONE,GROSS CHARGE,166.0,BOTH,500058,NONE
Px0000116505L,HC WIRE DOC .014/.018-145CM 22260,C1769,GROSS CHARGE,244.0,BOTH,500058,NONE
Px0000117030L,HC CATH KIT SNARE GN 6FR 25MM GN2500,C1773,GROSS CHARGE,920.0,BOTH,500058,NONE
Px0000117230L,HC CATH GLIDE ANG TAPER 5FR 100CM CG508,C1887,GROSS CHARGE,228.0,BOTH,500058,NONE
Px0000117231L,HC CATH GLIDE ANG TAPER 5FR 65CM CG507,C1887,GROSS CHARGE,228.0,BOTH,500058,NONE
Px0000119937L,HC KIT REFILL DRUG SYNCII PUMP 8551,NONE,GROSS CHARGE,94.0,BOTH,500058,NONE
Px0000120160L,HC INST BIOP MONOPTY 18GX15CM 211816,NONE,GROSS CHARGE,150.0,BOTH,500058,NONE
Px0000120162L,HC INST BIOP MONOPTY 20GX9CM 212010,NONE,GROSS CHARGE,111.0,BOTH,500058,NONE
Px0000122632L,HC CATH DRN MP 6SP 10.2F 45CM G09766,C1729,GROSS CHARGE,296.0,BOTH,500058,NONE
Px0000122635L,HC CATH DAWSON-MUELLER 8.5FR 25CM G09705,C1729,GROSS CHARGE,245.0,BOTH,500058,NONE
Px0000122636L,HC CATH ULT 8.5 38 45P6S CLM RH G09765,C1729,GROSS CHARGE,296.0,BOTH,500058,NONE
Px0000122647L,HC CATH ULT 12.0 38 45 P6S CLM RH G09767,C1729,GROSS CHARGE,296.0,BOTH,500058,NONE
Px0000123611L,HC GLIDEWIRE ANG EXCH .035 260CM GR3509,C1769,GROSS CHARGE,209.0,BOTH,500058,NONE
Px0000124904L,HC CATH KIT SNARE GN 4FR 5MM GN500,C1773,GROSS CHARGE,920.0,BOTH,500058,NONE
Px0000124905L,HC KIT SNARE GOOSENECK 15MM HOOP GN1500,C1773,GROSS CHARGE,914.0,BOTH,500058,NONE
Px0000126304L,HC CATH CEREB 5FR 100CM .038 SIM2 G05976,C1887,GROSS CHARGE,56.0,BOTH,500058,NONE
Px0000127226L,HC GLIDECATH 4FR 65CM ANGLE TAPER CG415,C1887,GROSS CHARGE,228.0,BOTH,500058,NONE
Px0000127738L,HC GLIDEWIRE SS ANG EX .035 260 GS3509,C1769,GROSS CHARGE,234.0,BOTH,500058,NONE
Px0000127888L,HC SHEATH SEPT 8.0FR 406885,C1893,GROSS CHARGE,513.0,BOTH,500058,NONE
Px0000128038L,HC WIRE GLD STIFF ST EXC .035 260 GS3504,C1769,GROSS CHARGE,234.0,BOTH,500058,NONE
Px0000128163L,HC CATH DIAG 4FR JL4 538420,NONE,GROSS CHARGE,56.0,BOTH,500058,NONE
Px0000128164L,HC CATH DIAG 4FR JR4 538421,NONE,GROSS CHARGE,69.0,BOTH,500058,NONE
Px0000128166L,HC CATH DIAG 4FR AL2 538446,NONE,GROSS CHARGE,69.0,BOTH,500058,NONE
Px0000128498L,HC CATH MAC-LOC 10.2FR 25 CLDM HC G09706,C1729,GROSS CHARGE,245.0,BOTH,500058,NONE
Px0000128499L,HC CATH MAC-LOC 12FR 25CM CLM RH G09503,C1729,GROSS CHARGE,262.0,BOTH,500058,NONE
Px0000128500L,HC CATH DRAINAGE 14.0P-6S CLM RH G09504,C1729,GROSS CHARGE,262.0,BOTH,500058,NONE
Px0000128518L,HC NDL BIOP COAXIAL ACHIEVE 18X15,NONE,GROSS CHARGE,198.0,BOTH,500058,NONE
Px0000128898L,HC NDL BIOP COAX ACHIEVE 14G 11CM CA1411,NONE,GROSS CHARGE,198.0,BOTH,500058,NONE
Px0000128901L,HC GLIDEWIRE ANG .035 180CM GR3508,C1769,GROSS CHARGE,187.0,BOTH,500058,NONE
Px0000129370L,HC CATH FLEXIMA LOCKING-PIG 14FR M001271390,C1729,GROSS CHARGE,272.0,BOTH,500058,NONE
Px0000132132L,HC SHEATH BRITE TIP 7F 35CM 401735M,C1894,GROSS CHARGE,39.0,BOTH,500058,NONE
Px0000132298L,HC TUBE FEEDING MIC-KEY 24FR 2.5 01202425,NONE,GROSS CHARGE,328.0,BOTH,500058,NONE
Px0000132416L,HC SHEATH BRITE TIP 7F 11CM 401711M,C1894,GROSS CHARGE,72.0,BOTH,500058,NONE
Px0000132485L,HC SHEATH BRITE TIP 6FR 23CM 401623M,C1894,GROSS CHARGE,98.0,BOTH,500058,NONE
Px0000132747L,HC SHEATH BRITE TIP 6F 35CM 401635M,C1894,GROSS CHARGE,39.0,BOTH,500058,NONE
Px0000132914L,HC GWIRE VASC ANG .035INX180CM GS3508,C1769,GROSS CHARGE,219.0,BOTH,500058,NONE
Px0000133015L,HC SHEATH BRITE TIP 5FR 23CM 401523M,C1894,GROSS CHARGE,98.0,BOTH,500058,NONE
Px0000133229L,HC SHEATH BRITE TIP 4F 11CM 401411M,C1894,GROSS CHARGE,72.0,BOTH,500058,NONE
Px0000133230L,HC SHEATH BRITE TIP 5F 11CM 401511M,C1894,GROSS CHARGE,72.0,BOTH,500058,NONE
Px0000133231L,HC SHEATH BRITE TIP 6FR 11CM 401611M,C1894,GROSS CHARGE,72.0,BOTH,500058,NONE
Px0000133292L,HC BLADE ARTHRO INCISOR ORBIT 4.5,NONE,GROSS CHARGE,222.0,BOTH,500058,NONE
Px0000133293L,HC BLADE ENDO SHAV TURBO WHSK 4.5,NONE,GROSS CHARGE,243.0,BOTH,500058,NONE
Px0000133336L,HC DRILL 1MM GREY-471-25,NONE,GROSS CHARGE,226.0,BOTH,500058,NONE
Px0000133371L,HC INFLATION DEVICE ENCORE 26 H74904527011,NONE,GROSS CHARGE,150.0,BOTH,500058,NONE
Px0000133743L,HC PARTICLES CONTOUR 355-500 M0017600451,C1889,GROSS CHARGE,366.0,BOTH,500058,NONE
