internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px00040210020,HC US OB NUCHAL MEASUREMENT 1 GEST,76813.0,GROSS CHARGE,906.0,BOTH,501326,NONE
Px00040210021,HC US OB NUCHAL MEASUREMENT ADD GEST,76814.0,GROSS CHARGE,442.0,BOTH,501326,NONE
Px00040210022,HC US OB LIMITED FETUS(S),76815.0,GROSS CHARGE,704.0,BOTH,501326,NONE
Px00040210023,HC US OB FOLLOW-UP PER FETUS,76816.0,GROSS CHARGE,673.0,BOTH,501326,NONE
Px00040210024,HC US OB TRANSVAGINAL,76817.0,GROSS CHARGE,971.0,BOTH,501326,NONE
Px00040210025,HC US FETAL BIOPHYS PROFILE W/NST,76818.0,GROSS CHARGE,1006.0,BOTH,501326,NONE
Px00040210026,HC US FETAL BIOPHYS PROFILE W/O NST,76819.0,GROSS CHARGE,751.0,BOTH,501326,NONE
Px00040210033,HC US TRANSVAGINAL NON-OB,76830.0,GROSS CHARGE,987.0,BOTH,501326,NONE
Px00040210034,HC ECHO EXAM UTERUS,76831.0,GROSS CHARGE,1216.0,BOTH,501326,NONE
Px00040210035,HC US EXAM PELVIC FOLLICLE LIMITED,76857.0,GROSS CHARGE,638.0,BOTH,501326,NONE
Px00075010272,HC MPU LEVEL 6,NONE,GROSS CHARGE,7139.0,BOTH,501326,NONE
Px00040210036,HC US EXAM SCROTUM & CONTENTS,76870.0,GROSS CHARGE,805.0,BOTH,501326,NONE
Px00040210037,HC US TRANSRECTAL,76872.0,GROSS CHARGE,805.0,BOTH,501326,NONE
Px00040210041,HC US EXT NON-VASC COMPLETE,76881.0,GROSS CHARGE,338.0,BOTH,501326,NONE
Px00040210043,HC US EXT NON-VASC LIMITED,76882.0,GROSS CHARGE,218.0,BOTH,501326,NONE
Px00040210045,HC US EXAM INFANT HIPS DYNAMIC,76885.0,GROSS CHARGE,299.0,BOTH,501326,NONE
Px00040210046,HC US EXAM INFANT HIPS STATIC,76886.0,GROSS CHARGE,299.0,BOTH,501326,NONE
Px00040210049,HC US GUIDE VASCULAR ACCESS,76937.0,GROSS CHARGE,467.0,BOTH,501326,NONE
Px00040210050,HC US GUIDE TISSUE ABLATION,76940.0,GROSS CHARGE,824.0,BOTH,501326,NONE
Px00040210052,HC US GUIDANCE NEEDLE PLACEMENT IMG S&I CDM,76942.0,GROSS CHARGE,824.0,BOTH,501326,NONE
Px00040210053,HC ECHO GUIDE FOR AMNIOCENTESIS,76946.0,GROSS CHARGE,956.0,BOTH,501326,NONE
Px00042010138,HC THERAPEUTIC EXERCISES - OT,97110.0,GROSS CHARGE,84.0,BOTH,501326,NONE
Px00040210061,HC ECHO EXAMINATION PROCEDURE UNLISTED,76999.0,GROSS CHARGE,223.0,BOTH,501326,NONE
Px00030110085,HC COL-CHR/MS NONDRUG ANALYTE NES QUAL/QUAN EA SPEC #,82542.0,GROSS CHARGE,343.0,BOTH,501326,NONE
Px00040210076,HC US UMBILICAL ARTERY ECHO,76820.0,GROSS CHARGE,306.0,BOTH,501326,NONE
Px00040210093,HC US EXAM PELVIC COMPLETE,76856.0,GROSS CHARGE,869.0,BOTH,501326,NONE
Px00040210104,HC US EXAM OF ABDOMEN LIMITED,76705.0,GROSS CHARGE,682.0,BOTH,501326,NONE
Px00030210195,HC ANTIBODY BACTERIUM NOT ELSEWHERE SPECIFIED #,86609.0,GROSS CHARGE,32.0,BOTH,501326,NONE
Px00040210112,HC US EXT NON-VASC AXILLA LIMITED,76882.0,GROSS CHARGE,218.0,BOTH,501326,NONE
Px00040210120,HC ECHO GUIDE FOR BREST BX NDL CORE,76942.0,GROSS CHARGE,749.0,BOTH,501326,NONE
Px00040310004,HC MAMMO SCREEN DIGITAL BILAT,77067.0,GROSS CHARGE,319.0,BOTH,501326,NONE
Px00040310005,HC MAMMO SCREEN DIGITAL UNILAT INC CAD,77067.0,GROSS CHARGE,260.0,BOTH,501326,NONE
Px00042010139,"HC NEUROMUSCULAR REEDUCATION, EA 15 MIN",97112.0,GROSS CHARGE,96.0,BOTH,501326,NONE
Px00040410004,HC PET BRAIN IMAGING,78608.0,GROSS CHARGE,3415.0,BOTH,501326,NONE
Px00040410009,HC PET IMAGE W/CT LIMITED,78814.0,GROSS CHARGE,3231.0,BOTH,501326,NONE
Px00040410010,HC PET IMAGE W/CT SKULL-THIGH,78815.0,GROSS CHARGE,6992.0,BOTH,501326,NONE
Px00040410011,HC PET IMAGE W/CT FULL BODY,78816.0,GROSS CHARGE,7708.0,BOTH,501326,NONE
Px00045010401,HC ED PENILE INJECTION CDM,54235.0,GROSS CHARGE,298.0,BOTH,501326,NONE
Px00061010002,HC MRI IMAGE JAW JOINT TMJ,70336.0,GROSS CHARGE,1933.0,BOTH,501326,NONE
Px00061010005,HC MRI ORBIT/FACE/NECK W/DYE,70542.0,GROSS CHARGE,3080.0,BOTH,501326,NONE
Px00061010007,HC MRI ORBT/FAC/NCK W/O & W/DYE,70543.0,GROSS CHARGE,3763.0,BOTH,501326,NONE
Px00061010009,"HC MRA W/O CONTRAST, HEAD",70544.0,GROSS CHARGE,2431.0,BOTH,501326,NONE
Px00061010010,"HC MRA W/CONTRAST, HEAD",70545.0,GROSS CHARGE,3071.0,BOTH,501326,NONE
Px00042010141,HC AQUATIC THERAPY/EXERCISES - 15 MIN,97113.0,GROSS CHARGE,77.0,BOTH,501326,NONE
Px00061010012,"HC MRA W/O AND W/CONTRAST, HEAD",70546.0,GROSS CHARGE,4059.0,BOTH,501326,NONE
Px00061010013,"HC MRA W/O CONTRAST, NECK",70547.0,GROSS CHARGE,2604.0,BOTH,501326,NONE
Px00061010014,"HC MRA W/CONTRAST, NECK",70548.0,GROSS CHARGE,3241.0,BOTH,501326,NONE
Px00061010015,"HC MRA W/O AND W/CONTRAST, NECK",70549.0,GROSS CHARGE,4088.0,BOTH,501326,NONE
Px00061010019,HC MRI CHEST W/O DYE,71550.0,GROSS CHARGE,2573.0,BOTH,501326,NONE
Px00061010022,HC MRI CHEST W/DYE,71551.0,GROSS CHARGE,2657.0,BOTH,501326,NONE
Px00061010025,HC MRI CHEST W/O & W/DYE,71552.0,GROSS CHARGE,3988.0,BOTH,501326,NONE
Px00061010029,HC MRI PELVIS W/O DYE,72195.0,GROSS CHARGE,2626.0,BOTH,501326,NONE
Px00061010038,HC MRI PELVIS W/DYE,72196.0,GROSS CHARGE,3937.0,BOTH,501326,NONE
Px00061010044,HC MRI PELVIS W/O & W/DYE,72197.0,GROSS CHARGE,4397.0,BOTH,501326,NONE
Px00042010142,"HC GAIT TRAINING THERAPY, EA 15 MIN",97116.0,GROSS CHARGE,66.0,BOTH,501326,NONE
Px00061010054,HC MRI UPPER EXTREMITY W/O DYE,73218.0,GROSS CHARGE,2704.0,BOTH,501326,NONE
Px00061010057,HC MRI LOWER EXTREMITY W/DYE,73719.0,GROSS CHARGE,3849.0,BOTH,501326,NONE
Px00061010059,HC MRI UPPER EXTREMITY W/O & W/DYE,73220.0,GROSS CHARGE,3202.0,BOTH,501326,NONE
Px00061010063,HC MRI JOINT UPR EXTREM W/O DYE,73221.0,GROSS CHARGE,2917.0,BOTH,501326,NONE
Px00061010065,HC MRI LOWER EXTREMITY W/O DYE,73718.0,GROSS CHARGE,2802.0,BOTH,501326,NONE
Px00061010066,HC MRI JOINT UPR EXTREM W/DYE,73222.0,GROSS CHARGE,3297.0,BOTH,501326,NONE
Px00061010068,HC MRI JOINT UPR EXTREM W/O & W/DYE,73223.0,GROSS CHARGE,3750.0,BOTH,501326,NONE
Px00061010075,HC MRI JNT OF LWR EXTRE W/O DYE,73721.0,GROSS CHARGE,2587.0,BOTH,501326,NONE
Px00061010077,HC MRI JOINT OF LWR EXTR W/DYE,73722.0,GROSS CHARGE,3937.0,BOTH,501326,NONE
Px00042010144,"HC MASSAGE THERAPY, EA 15 MIN",97124.0,GROSS CHARGE,65.0,BOTH,501326,NONE
Px00061010079,HC MRI JOINT LWR EXTR W/O&W/DYE,73723.0,GROSS CHARGE,4438.0,BOTH,501326,NONE
Px00061010082,HC MRI MRCP ABDOMEN W/O DYE,74181.0,GROSS CHARGE,3628.0,BOTH,501326,NONE
Px00061010083,HC MRI ABDOMEN W/O DYE,74181.0,GROSS CHARGE,3272.0,BOTH,501326,NONE
Px00061010085,HC MRI ABDOMEN W/DYE,74182.0,GROSS CHARGE,3804.0,BOTH,501326,NONE
Px00061010087,HC MRI ABDOMEN W/O & W/DYE,74183.0,GROSS CHARGE,5934.0,BOTH,501326,NONE
Px00061010090,HC MRI CARDIAC FOR MORPH,75557.0,GROSS CHARGE,1567.0,BOTH,501326,NONE
Px00061010091,HC MRI CARDIAC W/STRESS IMG,75559.0,GROSS CHARGE,1567.0,BOTH,501326,NONE
Px00061010092,HC MRI CARDIAC FOR MORPH W/WO DYE,75561.0,GROSS CHARGE,2394.0,BOTH,501326,NONE
Px00061010093,HC MRI CARDIAC W/STRESS IMG & DYE,75563.0,GROSS CHARGE,2394.0,BOTH,501326,NONE
Px00061010100,HC MRI BONE MARROW BLOOD SUPPLY,77084.0,GROSS CHARGE,2265.0,BOTH,501326,NONE
