internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px0000100832L,HC CATH INTRO SET ADULT 8FR TRANS 008591,C1893,GROSS CHARGE,375.0,BOTH,500054,NONE
Px0000100988L,HC WIRE CHOICE PT .014-300CM H74912154012,C1769,GROSS CHARGE,321.0,BOTH,500054,NONE
Px0000100990L,HC GUIDEWIRE TEFCOR 035 145CM CRV G01678,C1769,GROSS CHARGE,141.0,BOTH,500054,NONE
Px0000101282L,HC INST BIOP 18GAX16 MC1816,NONE,GROSS CHARGE,246.0,BOTH,500054,NONE
Px0000101349L,HC KIT CATH MAHURKAR CRV 16CM 8830415003,C1752,GROSS CHARGE,774.0,BOTH,500054,NONE
Px0000102235L,HC CATH KIT MICROSNARE 4MM SK400,C1773,GROSS CHARGE,1716.0,BOTH,500054,NONE
Px0000103813L,HC CATH ANGIOJECT XVG 5FR,C1757,GROSS CHARGE,5967.0,BOTH,500054,NONE
Px0000104016L,HC CATH HICKMAN DUAL LUMEN 13.5FR 0600662,C1750,GROSS CHARGE,795.0,BOTH,500054,NONE
Px0000104062L,HC CATH RADIAL ARTERY RA04020,C1751,GROSS CHARGE,91.0,BOTH,500054,NONE
Px0000104075L,HC INTERCEED 3X4 4350,C1765,GROSS CHARGE,1441.0,BOTH,500054,NONE
Px0000105783L,HC PERICARDIOCENTESIS PIGTAIL,C1729,GROSS CHARGE,514.0,BOTH,500054,NONE
Px0000107996L,HC AIRWAY NASO 7.0 DSP 8888247031,NONE,GROSS CHARGE,24.0,BOTH,500054,NONE
Px0000107997L,HC AIRWAY NASO 7.5 DSP 8888247049,NONE,GROSS CHARGE,24.0,BOTH,500054,NONE
Px0000109541L,HC SET DIL REN AMPL 6-30FR 16CM G14292,C1725,GROSS CHARGE,958.0,BOTH,500054,NONE
Px0000110320L,HC GLIDEWIRE ANG .035 150CM,C1769,GROSS CHARGE,676.0,BOTH,500054,NONE
Px0000111178L,HC BLN CATH NC RANGER 2.5X15 1537425,C1725,GROSS CHARGE,2168.0,BOTH,500054,NONE
Px0000111326L,HC BURR TIP 1.25MM H802227680020,C1724,GROSS CHARGE,2585.0,BOTH,500054,NONE
Px0000111327L,HC BURR TIP 1.5MM H802227680030,C1724,GROSS CHARGE,2585.0,BOTH,500054,NONE
