internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px0000128898L,HC NDL BIOP COAX ACHIEVE 14G 11CM CA1411,NONE,GROSS CHARGE,270.0,BOTH,501309,NONE
Px0000129634L,HC ESOPHAGEAL BALLON DIL CATH 8-10MM M00558340,C1726,GROSS CHARGE,881.0,BOTH,501309,NONE
Px0000129637L,HC DIL ESOPH CRE 36-45FR 12-15 M00558360,C1726,GROSS CHARGE,562.0,BOTH,501309,NONE
Px0000129639L,HC DIL BLN CRE 18/19/20MM EA M00558380,C1726,GROSS CHARGE,590.0,BOTH,501309,NONE
Px0000137213L,HC PROBE APC SM 2.3MM 20132156,NONE,GROSS CHARGE,589.0,BOTH,501309,NONE
Px0000138547L,HC DIL CRE ESOPH PYLORIC 8-10MM M00558460,C1726,GROSS CHARGE,659.0,BOTH,501309,NONE
Px0000138548L,HC DIL CRE ESOPH PYLORIC 10-12MM M00558470,C1726,GROSS CHARGE,663.0,BOTH,501309,NONE
Px0000155241L,HC TERUMO TORQUE DEVICE TD01,NONE,GROSS CHARGE,54.0,BOTH,501309,NONE
Px0000199144L,HC MACINTOSH BLADE 2,NONE,GROSS CHARGE,332.0,BOTH,501309,NONE
Px0000199145L,HC MACINTOSH BLADE 3,NONE,GROSS CHARGE,332.0,BOTH,501309,NONE
Px0000199146L,HC MACINTOSH BLADE 4,NONE,GROSS CHARGE,332.0,BOTH,501309,NONE
Px0000199158L,HC MILLER BLADE 2,NONE,GROSS CHARGE,332.0,BOTH,501309,NONE
Px0000199159L,HC MILLER BLADE 3,NONE,GROSS CHARGE,332.0,BOTH,501309,NONE
Px0000199160L,HC MILLER BLADE 4,NONE,GROSS CHARGE,332.0,BOTH,501309,NONE
Px0000235427L,HC BRACE UE/FX ORTHOSIS HUMERAL L3980,L3980,GROSS CHARGE,853.0,BOTH,501309,NONE
Px0000240737L,HC TRAY PONSKY PEG 20FR DELUXE 792,NONE,GROSS CHARGE,331.0,BOTH,501309,NONE
Px0000240836L,HC EN EUS RADIAL BALLOON M00568201,NONE,GROSS CHARGE,375.0,BOTH,501309,NONE
Px0000247786L,HC FORCEP BIOPSY RADIAL JAW GATOR 1266,NONE,GROSS CHARGE,209.0,BOTH,501309,NONE
Px0000250266L,HC CLIP RESOLUTION 235CM 1/EA M00522610,NONE,GROSS CHARGE,434.0,BOTH,501309,NONE
Px0000258462L,HC NET RETRIEVAL BX00711155,NONE,GROSS CHARGE,378.0,BOTH,501309,NONE
Px0000266150L,HC CATH PICC PWR TLS DL 5FR FULL,C1751,GROSS CHARGE,500.0,BOTH,501309,NONE
Px0000292177L,HC PROBE SERF SUCT MAX 90-S 4.0MM 0279401100,NONE,GROSS CHARGE,506.0,BOTH,501309,NONE
Px0000305823L,HC DRSG KIT VAC GRANUFOAM LG M827505310S,NONE,GROSS CHARGE,228.0,BOTH,501309,NONE
Px0000311680L,HC CATH ELECHEMOSTASIS/INJ BIPLR,C1725,GROSS CHARGE,543.0,BOTH,501309,NONE
Px0000316109L,HC TRAY UMBILICAL CATH 3.5/5FR,C1750,GROSS CHARGE,319.0,BOTH,501309,NONE
Px0000330139L,HC ELECTRODE RESUS ZOLL ADULT HC,NONE,GROSS CHARGE,328.0,BOTH,501309,NONE
Px0000330140L,HC ELECTRODE RESUS ZOLL PED HC,NONE,GROSS CHARGE,251.0,BOTH,501309,NONE
