internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px00048110142,HC LEFT HRT CATH W/VENTRCLGRPHY,93452,GROSS CHARGE,12340.0,BOTH,500002,NONE
Px00048110143,HC R&L HRT CATH W/VENTRICLGRPHY,93453,GROSS CHARGE,12340.0,BOTH,500002,NONE
Px00048110144,HC CORONARY ARTERY ANGIO S&I,93454,GROSS CHARGE,12512.0,BOTH,500002,NONE
Px00048110145,HC CORONARY ART/GRFT ANGIO S&I,93455,GROSS CHARGE,12512.0,BOTH,500002,NONE
Px00048110146,HC R HRT CORONARY ARTERY ANGIO,93456,GROSS CHARGE,22228.0,BOTH,500002,NONE
Px00048110147,HC R HRT ART/GRFT ANGIO,93457,GROSS CHARGE,23712.0,BOTH,500002,NONE
Px00048110148,HC L HRT ARTERY/VENTRICLE ANGIO,93458,GROSS CHARGE,16191.0,BOTH,500002,NONE
Px00048110149,HC L HRT ART/GRFT ANGIO,93459,GROSS CHARGE,17675.0,BOTH,500002,NONE
Px00048110150,HC R&L HRT ART/VENTRICLE ANGIO,93460,GROSS CHARGE,16191.0,BOTH,500002,NONE
Px00048110151,HC R&L HRT ART/VENTRICLE ANGIO W/BYP GRFT,93461,GROSS CHARGE,17675.0,BOTH,500002,NONE
Px00030012386,HC ANTINOMYCES ANTIBODY,86602,GROSS CHARGE,15.0,BOTH,500002,NONE
Px00048110152,HC LEFT HEART CATH BY TRANSEPTAL PUNCTURE CDM,93462,GROSS CHARGE,8342.0,BOTH,500002,NONE
Px00048110153,HC DRUG ADMIN & HEMODYNMIC MEAS,93463,GROSS CHARGE,224.0,BOTH,500002,NONE
Px00048110154,HC EXERCISE W/HEMODYNAMIC MEAS,93464,GROSS CHARGE,1564.0,BOTH,500002,NONE
Px00048110156,HC INSERT/PLACE HEART CATHETER,93503,GROSS CHARGE,12071.0,BOTH,500002,NONE
Px00048110158,HC BIOPSY OF HEART LINING,93505,GROSS CHARGE,5724.0,BOTH,500002,NONE
Px00048110183,HC INJECT CONGENITAL CARD CATH,93563,GROSS CHARGE,1373.0,BOTH,500002,NONE
Px00048110184,HC INJECT HRT CONGNTL ART/GRFT,93564,GROSS CHARGE,1859.0,BOTH,500002,NONE
Px00048110185,HC INJECT L VENTR/ATRIAL ANGIO,93565,GROSS CHARGE,2624.0,BOTH,500002,NONE
Px00048110186,HC INJECT R VENTR/ATRIAL ANGIO,93566,GROSS CHARGE,2624.0,BOTH,500002,NONE
Px00048110187,HC INJECT SUPRVLV AORTOGRAPHY,93567,GROSS CHARGE,2924.0,BOTH,500002,NONE
Px0000610506L,HC GUIDEWIRE PRESS COMET 185CM H7495551110,C1769,GROSS CHARGE,2188.0,BOTH,500002,NONE
Px00048110188,HC INJECT PULM ART HRT CATH,93568,GROSS CHARGE,3298.0,BOTH,500002,NONE
Px00048110189,HC HEART FLOW RESERVE MEASURE,93571,GROSS CHARGE,4056.0,BOTH,500002,NONE
Px00048110190,HC HEART FLOW RESERVE MEASURE EA ADDTL,93572,GROSS CHARGE,1848.0,BOTH,500002,NONE
Px00048110224,"HC ILIAC ART ANGIO,CARDIAC CATH",G0278,GROSS CHARGE,1008.0,BOTH,500002,NONE
Px00098110494,HC PR 36556 INSERT NON-TUNNEL CV CATH > 5,36556,GROSS CHARGE,311.0,BOTH,500002,NONE
Px00098110496,HC PR 36569 INSERTION PICC W/O IMG GDN 5 YR/>,36569,GROSS CHARGE,151.0,BOTH,500002,NONE
Px00098110608,HC PR 37195 THROMBOLYTIC THERAPY STROKE,37195,GROSS CHARGE,382.0,BOTH,500002,NONE
Px00098110609,HC PR 37609 TEMPORAL ARTERY PROCEDURE,37609,GROSS CHARGE,841.0,BOTH,500002,NONE
Px00098110612,HC PR 92977 DISSOLVE CLOT HEART VESSEL IV,92977,GROSS CHARGE,142.0,BOTH,500002,NONE
Px00030110181,HC  LACTOFERRIN FECAL QUANTITATIVE #,83631,GROSS CHARGE,49.0,BOTH,500002,NONE
Px0000105784L,HC SET PNEUMOTHORAX G03301,C1729,GROSS CHARGE,772.0,BOTH,500002,NONE
Px00030110231,HC ANTIPSYCHOTICS NOT OTHERWISE SPECIFIED 1-3 #,80342,GROSS CHARGE,65.0,BOTH,500002,NONE
Px00030010004,HC BLOOD DRAW VENIPUNCTURE,36415,GROSS CHARGE,40.0,BOTH,500002,NONE
Px00030010005,HC ROUTINE VENIPUNCTURE - REFERRAL DRAW FEE,36415,GROSS CHARGE,40.0,BOTH,500002,NONE
Px00030010007,HC ROUTINE VENIPUNCTURE - REFERRAL PROCESSING,36415,GROSS CHARGE,68.0,BOTH,500002,NONE
Px00030010008,HC ROUTINE VENIPUNCTURE - REFERRAL SHIPPING,36415,GROSS CHARGE,53.0,BOTH,500002,NONE
Px00030010009,HC ROUTINE VENIPUNCTURE - COLLECTION VENOUS BLD,36415,GROSS CHARGE,40.0,BOTH,500002,NONE
Px00030010011,HC CAPILLARY BLOOD DRAW,36416,GROSS CHARGE,28.0,BOTH,500002,NONE
Px00030010013,HC WITHDRAWAL OF ARTERIAL BLOOD,36600,GROSS CHARGE,176.0,BOTH,500002,NONE
Px00045010146,HC ED NON-ROUTINE BL DRAW > 3 YRS CDM,36410,GROSS CHARGE,141.0,BOTH,500002,NONE
Px00045010148,HC ED VEIN ACCESS CUTDOWN < 1 YR CDM,36420,GROSS CHARGE,172.0,BOTH,500002,NONE
Px0000106035L,HC HEMOSTATIC SURGICEL 4X8 1952,NONE,GROSS CHARGE,379.0,BOTH,500002,NONE
Px00094010204,HC PHLEBOTOMY,99195,GROSS CHARGE,250.0,BOTH,500002,NONE
Px00098110587,HC PR 36600 WITHDRAWAL OF ARTERIAL BLOOD,36600,GROSS CHARGE,82.0,BOTH,500002,NONE
Px00098110589,HC PR 36400 BL DRAW < 3 YRS FEM/JUGULAR,36400,GROSS CHARGE,76.0,BOTH,500002,NONE
