internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px0000460471L,HC COIL TARGET 360 NANO 2MM X 4CM M0035442040,C1889,GROSS CHARGE,10904.0,BOTH,500024,NONE
Px0000454422L,HC COIL TARGET 3D 6MMX15CM M0036156150,C1889,GROSS CHARGE,10339.0,BOTH,500024,NONE
Px00091510077,HC COLLATERAL REPORTING,NONE,GROSS CHARGE,600.0,BOTH,500024,NONE
Px00045010123,HC ED TEMP TRANSCUTANEOUS EXT PACING CDM,92953,GROSS CHARGE,2530.0,BOTH,500024,NONE
Px00048010001,HC CARDIOVERSION ELECTIVE EXTERNAL,92960,GROSS CHARGE,2530.0,BOTH,500024,NONE
Px00048010059,HC ECHO TTE 2D M-MODE LTD,93308,GROSS CHARGE,1244.0,BOTH,500024,NONE
Px00048010063,HC ECHO TEE PROBE IMAGE & REPT,93312,GROSS CHARGE,2471.0,BOTH,500024,NONE
Px00048010067,HC ECHO COLOR DOPPLER,93325,GROSS CHARGE,873.0,BOTH,500024,NONE
Px00031010677,HC TRB GENE REARRANGE AMPLIFY,81340,GROSS CHARGE,103.0,BOTH,500024,NONE
Px00048010074,HC ECHO DOPPLER PULSE CONTIN COMP,93320,GROSS CHARGE,1433.0,BOTH,500024,NONE
Px00048010075,HC ECHO STRESS TEST W/INTERP & REPT,93350,GROSS CHARGE,2471.0,BOTH,500024,NONE
Px00048010077,HC ECHO W/WO CONTRAST DOP COLOR,C8929,GROSS CHARGE,3462.0,BOTH,500024,NONE
Px00048310003,HC TTE ECHO 2D W/COLOR & DOP,93306,GROSS CHARGE,2471.0,BOTH,500024,NONE
Px00048310013,HC ECHO DOPPLER PULSE CONTIN LTD,93321,GROSS CHARGE,573.0,BOTH,500024,NONE
Px00048310017,HC ECHO ADM CONSTRAST DURING STRESS,93352,GROSS CHARGE,218.0,BOTH,500024,NONE
Px00048310020,HC ECHO W/WO CONTRAST F/U LIMITED,C8924,GROSS CHARGE,2315.0,BOTH,500024,NONE
Px00048310021,HC ECHO TEE W/WO CONTRAST COMPLETE,C8925,GROSS CHARGE,3462.0,BOTH,500024,NONE
Px00048310024,HC ECHO W/WO CONTRAST STRESS TEST,C8928,GROSS CHARGE,3462.0,BOTH,500024,NONE
Px00048010076,HC ECHO INTRACARDIAC DURING INTERVENTION,93662,GROSS CHARGE,9926.0,BOTH,500024,NONE
Px00048210003,HC CARDIO STRESS TEST TRACING ONLY,93017,GROSS CHARGE,1263.0,BOTH,500024,NONE
Px00048210004,HC CARDIO STRESS TEST MEDICINE,93017,GROSS CHARGE,1263.0,BOTH,500024,NONE
Px00073010002,HC ECG 12 LEAD TRACING ONLY,93005,GROSS CHARGE,285.0,BOTH,500024,NONE
Px00098510001,HC PR 93010 ECG 12 LEAD INTERP & REPT ONLY,93010,GROSS CHARGE,26.0,BOTH,500024,NONE
Px00033310023,HC RADIATION TREATMENT AID(S),77332,GROSS CHARGE,849.0,BOTH,500024,NONE
Px00033310064,HC APPLY INTERSTIT RADIAT COMPL,77778,GROSS CHARGE,4831.0,BOTH,500024,NONE
Px00033310074,HC RADIATION HANDLING,77790,GROSS CHARGE,337.0,BOTH,500024,NONE
Px0000484757L,HC ICD DYNAGEN EL VR DF4,C1722,GROSS CHARGE,19874.0,BOTH,500024,NONE
Px00030012386,HC ANTINOMYCES ANTIBODY,86602,GROSS CHARGE,40.0,BOTH,500024,NONE
Px00030016339,HC STREP B DNA AMPLIFIED PROBE,87653,GROSS CHARGE,179.0,BOTH,500024,NONE
Px0000610505L,HC CATH IVUS CRNRY IMAG OPTICROSS,C1753,GROSS CHARGE,4656.0,BOTH,500024,NONE
Px0000610506L,HC GUIDEWIRE PRESS COMET 185CM H7495551110,C1769,GROSS CHARGE,4656.0,BOTH,500024,NONE
Px0000158646L,HC TUBE FEED MIC JEJU 18FR 0200-18 020018,NONE,GROSS CHARGE,978.0,BOTH,500024,NONE
Px0000484739L,HC PACER ACCOLADE DR,C1785,GROSS CHARGE,14482.0,BOTH,500024,NONE
Px0000200837L,HC TUBE JEJUNAL FEED 16FR 20CC BL 020016,NONE,GROSS CHARGE,978.0,BOTH,500024,NONE
Px0000591894L,HC CATH MIC MARKSMAN 160CM FA551601030,C1887,GROSS CHARGE,7898.0,BOTH,500024,NONE
Px0000546986L,HC CATH DIAG IMAG DRGFLY OPTIS C408646,C1753,GROSS CHARGE,4921.0,BOTH,500024,NONE
Px00071010131,HC PACU ACUITY LVL 1 INITIAL 15,NONE,GROSS CHARGE,650.0,BOTH,500024,NONE
Px00071010132,HC PACU ACUITY LVL 2 INITIAL 15,NONE,GROSS CHARGE,710.0,BOTH,500024,NONE
Px00071010133,HC PACU ACUITY LVL 3 INITIAL 15,NONE,GROSS CHARGE,730.0,BOTH,500024,NONE
Px00071010134,HC PACU ACUITY LVL 4 INITIAL 15,NONE,GROSS CHARGE,825.0,BOTH,500024,NONE
Px00071010135,HC PACU ACUITY LVL 5 INITIAL 15,NONE,GROSS CHARGE,840.0,BOTH,500024,NONE
Px0000484738L,HC PACER ACCOLADE DR EL,C1785,GROSS CHARGE,14482.0,BOTH,500024,NONE
Px0000239024L,HC GLIDEWIRE GT .018 180CM STRT,NONE,GROSS CHARGE,1295.0,BOTH,500024,NONE
Px00071010231,HC PACU ACUITY LVL 1 PER MIN,NONE,GROSS CHARGE,43.0,BOTH,500024,NONE
Px00071010232,HC PACU ACUITY LVL 2 PER MIN,NONE,GROSS CHARGE,47.0,BOTH,500024,NONE
Px00071010233,HC PACU ACUITY LVL 3 PER MIN,NONE,GROSS CHARGE,49.0,BOTH,500024,NONE
Px00071010234,HC PACU ACUITY LVL 4 PER MIN,NONE,GROSS CHARGE,55.0,BOTH,500024,NONE
Px0000607468L,HC KIT TBNG CATH THRMB ACE64 5MAXACE064KIT,C1887,GROSS CHARGE,18274.0,BOTH,500024,NONE
Px0000258612L,HC CATH IABP 7.5FR 40CC 068400048001U,C1726,GROSS CHARGE,4980.0,BOTH,500024,NONE
Px00045010138,HC ED DISTAL RADIAL FRACTURE CDM,25606,GROSS CHARGE,12951.0,BOTH,500024,NONE
Px0000611416L,HC LEAD PACER ACTV FIX STR 45 CM 7740,C1898,GROSS CHARGE,1575.0,BOTH,500024,NONE
Px0000611411L,HC PACEMAKER ACCOLADE VR MRI L310,C1786,GROSS CHARGE,11097.0,BOTH,500024,NONE
Px0000611417L,HC LEAD PACER ACTV FIX STR 52 CM 7741,C1898,GROSS CHARGE,1575.0,BOTH,500024,NONE
Px0000611409L,HC PACEMAKER ACCOLADE DR EL MRI L331,C1785,GROSS CHARGE,13452.0,BOTH,500024,NONE
Px0000611418L,HC LEAD PACER ACTV FIX STR 59CM 7742,C1898,GROSS CHARGE,1575.0,BOTH,500024,NONE
Px0000484742L,HC PACER ACCOLADE SR,C1786,GROSS CHARGE,12227.0,BOTH,500024,NONE
Px0000440236L,HC CATH BLN PTA FLSHMINI 4X8MM OCB4008BA,C1725,GROSS CHARGE,8030.0,BOTH,500024,NONE
Px00091510003,HC GROUP PSYCHOTHERAPY IOP 30 MIN,90853,GROSS CHARGE,316.0,BOTH,500024,NONE
Px00091510005,HC GROUP PSYCHOTHERAPY IOP 90 MIN,90853,GROSS CHARGE,316.0,BOTH,500024,NONE
Px00091510031,HC GROUP PSYCHOTHERAPY 90 MIN,90853,GROSS CHARGE,316.0,BOTH,500024,NONE
Px00091510035,HC GROUP PSYCHOTHERAPY IOP 150 MIN,90853,GROSS CHARGE,316.0,BOTH,500024,NONE
Px00091510036,HC GROUP PSYCHOTHERAPY IOP 120 MIN,90853,GROSS CHARGE,316.0,BOTH,500024,NONE
Px00094510012,HC GROUP PSYCHOTHERAPY AFTERCARE 90 MIN,90853,GROSS CHARGE,316.0,BOTH,500024,NONE
Px00094510013,HC GROUP PSYCHOTHERAPY AFTERCARE 120 MIN,90853,GROSS CHARGE,316.0,BOTH,500024,NONE
Px00096110048,HC PR 90853 GROUP PSYCHOTHERAPY 120 MIN,90853,GROSS CHARGE,302.0,BOTH,500024,NONE
Px00076110002,HC NEW PT VISIT - LEVEL 2,99202,GROSS CHARGE,288.0,BOTH,500024,NONE
Px00076110003,HC NEW PT VISIT - LEVEL 3,99203,GROSS CHARGE,344.0,BOTH,500024,NONE
Px00036010901,HC AMNIOCENTESIS DIAGNOSTIC,59000,GROSS CHARGE,2841.0,BOTH,500024,NONE
Px00036010936,HC VERSION W/ FMC ULTRASOUND,59412,GROSS CHARGE,8695.0,BOTH,500024,NONE
Px00076110004,HC NEW PT VISIT - LEVEL 4,99204,GROSS CHARGE,627.0,BOTH,500024,NONE
Px00036010965,HC NEWBORN RESUSCITATION,99465,GROSS CHARGE,2468.0,BOTH,500024,NONE
Px00036010967,HC HYPOTHERMIA TOTAL BODY PER DAY,99199,GROSS CHARGE,1923.0,BOTH,500024,NONE
Px00036110071,HC SPINAL FLUID TAP DIAGNOSTIC,62270,GROSS CHARGE,2682.0,BOTH,500024,NONE
Px00036110072,HC INJECT EPIDURAL PATCH,62273,GROSS CHARGE,2682.0,BOTH,500024,NONE
Px00036110073,HC FRENOTOMY LINGUAL,41010,GROSS CHARGE,5125.0,BOTH,500024,NONE
Px00040210097,HC BLADDER SCAN,51798,GROSS CHARGE,277.0,BOTH,500024,NONE
Px00045010118,HC ED VAGINAL DELIVERY ONLY CDM,59409,GROSS CHARGE,9479.0,BOTH,500024,NONE
Px00045010119,HC ED DELIVER PLACENTA CDM,59414,GROSS CHARGE,10292.0,BOTH,500024,NONE
Px00076110005,HC NEW PT VISIT - LEVEL 5,99205,GROSS CHARGE,658.0,BOTH,500024,NONE
Px00072010068,HC INTRA ACUITY PER HR CLASS 1,NONE,GROSS CHARGE,320.0,BOTH,500024,NONE
Px00072010071,HC INTRA ACUITY PER HR CLASS 2,NONE,GROSS CHARGE,417.0,BOTH,500024,NONE
Px00072010074,HC INTRA ACUITY PER HR CLASS 3,NONE,GROSS CHARGE,463.0,BOTH,500024,NONE
Px00072010077,HC INTRA ACUITY PER HR CLASS 4,NONE,GROSS CHARGE,590.0,BOTH,500024,NONE
Px00072210001,HC DELIVERY LEVEL 1,NONE,GROSS CHARGE,7177.0,BOTH,500024,NONE
Px00072210002,HC DELIVERY LEVEL 2,NONE,GROSS CHARGE,7672.0,BOTH,500024,NONE
Px00072210003,HC DELIVERY LEVEL 3,NONE,GROSS CHARGE,8195.0,BOTH,500024,NONE
