LAST UPDATED: 6/10/2021,Code Type,Code,Category,Description,Charges,Self-Pay Rate
,CPTHCPCS,,AMBULATORY,COVID-19 VACCINE ADMIN MODERNA 1ST DOSE,40,0
,CPTHCPCS,,AMBULATORY,COVID-19 VACCINE ADMIN MODERNA 2ND DOSE,40,0
,CPTHCPCS,,RADIOLOGY,MR ANGIO PELVIS WITH CONTRAST,3828.5,2871.38
,CPTHCPCS,,PSYCHIATRY,THERAPEUTIC BEHAVIORAL SERVICES PER DIEM,991,743.25
,CPTHCPCS,,AMBULATORY,BIOBEHAVIORAL INTENSIVE OUTPATIENT PROG (PER DIEM),599.9,449.93
,CPTHCPCS,,AMBULATORY,FEEDING DISORDER OP PROG,991,743.25
,CPTHCPCS,,AMBULATORY,OCD INTENSIVE OP PROG,599.9,449.93
,CPTHCPCS,,OPS,RECOVERY TIER 1,942.5,706.88
,CPTHCPCS,,OPS,RECOVERY TIER 2,1268.5,951.38
,CPTHCPCS,,OPS,RECOVERY TIER 3,1812.1,1359.08
,CPTHCPCS,,OPS,RECOVERY TIER 4,2246.9,1685.18
,CPTHCPCS,,SURGICAL SERVICES,OR LEVEL 1A,3188.6,2391.45
,CPTHCPCS,,HEART CENTER,ICD PLACEMENT UW,112018.4,84013.8
,CPTHCPCS,,SURGICAL SERVICES,HEARTWARE PACKAGE,185180.7,138885.53
,CPTHCPCS,,SURGICAL SERVICES,SURGERY/OR - LEVEL 2 (10 MIN) OVERRIDE,1294.5,970.88
,CPTHCPCS,,DIALYSIS,AQUAPHERESIS PER DAY,10437.7,7828.28
,CPTHCPCS,,OPS,ICU OPEN LUNG BIOPSY,4860.8,3645.6
,CPTHCPCS,,HEART CENTER,HARMONY 22MM PULMONARY,35000,26250
,CPTHCPCS,,HEART CENTER,ASSURED IMPLANT,7175,5381.25
,CPTHCPCS,,OPS,ICU EXCISIONAL BIOPSY LYMPH NODE,7693.2,5769.9
,CPTHCPCS,,ECMO,ECMO/ECLS SUBSQ DAY W/ CIRCUIT CHANGE,35951,26963.25
,CPTHCPCS,,OPS,EXPLORATORY LAPAROTOMY,32860,24645
,CPTHCPCS,,PSYCHIATRY,HEALTH EDUCATION CLASS,15,15
,CPTHCPCS,,CATH LAB,HARMONY 25MM PULMONARY,35000,26250
,CPTHCPCS,,SURGICAL SERVICES,CATH MALECOT 20FR,84.4,63.3
,CPTHCPCS,,SURGICAL SERVICES,CONFORMER LUCITE SMALL,175,131.25
,CPTHCPCS,,SURGICAL SERVICES,CONFORMER LUCITE MEDIUM,175,131.25
,CPTHCPCS,,SURGICAL SERVICES,EXPANDER TISSUE 7X5CM CRESCEN,4370,3277.5
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC 18MM CARBOMEDICA,15847.5,11885.63
,CPTHCPCS,,SURGICAL SERVICES,VALVE DELTA SM PERF LEVEL 2,5218.4,3913.8
,CPTHCPCS,,RADIOLOGY,INTRODUCER SET CHECK FLO 12FR 13CM,225,168.75
,CPTHCPCS,,HEART CENTER,JUDKINS LT CORONARY CATH LG,70,52.5
,CPTHCPCS,,RADIOLOGY,INTRODUCER PEELAWAY 10FR,190.3,142.73
,CPTHCPCS,,RADIOLOGY,SHEATH MULLINS TRANSSEPTAL,375,281.25
,CPTHCPCS,,RADIOLOGY,CATH BALLOON DIL  7MM X 20MM,1250.6,937.95
,CPTHCPCS,,RADIOLOGY,SHEATH INTRODUCER CHECK-FLO,380,285
,CPTHCPCS,,SURGICAL SERVICES,CONNECTOR SS INTIN,4675.1,3506.33
,CPTHCPCS,,RADIOLOGY,IR CATHETER MICRO MEWI INFUSE,861.2,645.9
,CPTHCPCS,,RADIOLOGY,TUBE MIC FEEDING 18FR 30CM,1011.8,758.85
,CPTHCPCS,,RADIOLOGY,GI TUBE MIC 18FR 45CM,1011.8,758.85
,CPTHCPCS,,SURGICAL SERVICES,SYRINGE DEFLUX 1ML,9076.1,6807.08
,CPTHCPCS,,SURGICAL SERVICES,TISSUE EXPANDER OVAL 200CC,3832.5,2874.38
,CPTHCPCS,,SURGICAL SERVICES,PLUG PIN CONNECTOR PORT,475,356.25
,CPTHCPCS,,SURGICAL SERVICES,VALVE STRATA W/BIOGLIDE ALL,11357.5,8518.13
,CPTHCPCS,,SURGICAL SERVICES,CATH PERITONEAL SLITS LOW,920.6,690.45
,CPTHCPCS,,SURGICAL SERVICES,PROSTHESIS TESTICULAR MED/LG,8497.5,6373.13
,CPTHCPCS,,SURGICAL SERVICES,PROSTHESIS TESTICULAR MED,8497.5,6373.13
,CPTHCPCS,,SURGICAL SERVICES,PROSTHESIS TESTICULAR SM,8497.5,6373.13
,CPTHCPCS,,SURGICAL SERVICES,MESH DYNAMIC 90X90X6 MM,5591.4,4193.55
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 18FR 1.7CM 30CM J,1520,1140
,CPTHCPCS,,SURGICAL SERVICES,HEMASHIELD 8MM,1634.9,1226.18
,CPTHCPCS,,SURGICAL SERVICES,HEMASHIELD 6MM,1634.9,1226.18
,CPTHCPCS,,SURGICAL SERVICES,SHUNT L P K TUBE,4156.2,3117.15
,CPTHCPCS,,RADIOLOGY,EXTRACTOR STONE 2.4FR NCIRCLE,921.5,691.13
,CPTHCPCS,,SURGICAL SERVICES,COUPLER 3.0MM,1876.3,1407.23
,CPTHCPCS,,SHARED,CATHETER CRAGG MC INFUSE,512.1,384.08
,CPTHCPCS,,SURGICAL SERVICES,PROSTHESIS TESTICULAR SIZE 3,4037.5,3028.13
,CPTHCPCS,,SURGICAL SERVICES,PROSTHESIS TESTICULAR SIZE 4,4037.5,3028.13
,CPTHCPCS,,RADIOLOGY,SET INTRODUCER SHEATH 14FR 13CM,225,168.75
,CPTHCPCS,,RADIOLOGY,INTRODUCER CHECKFLO PERFORMER 12FR,465,348.75
,CPTHCPCS,,CATH LAB,CATH TYSHAK II 10MM X 4CM,3445.1,2583.83
,CPTHCPCS,,SURGICAL SERVICES,MEDPOR MANDIBULAR RT,2803.5,2102.63
,CPTHCPCS,,SURGICAL SERVICES,CONFORMER LUCITE LARGE,175,131.25
,CPTHCPCS,,SURGICAL SERVICES,CONNECTOR LUMBOPERITONEAL,345.3,258.98
,CPTHCPCS,,SURGICAL SERVICES,VALVE STRATA II SM EXTRACTED,14175.2,10631.4
,CPTHCPCS,,SURGICAL SERVICES,CATH VENTRICULAR EXTRACTED,1602.7,1202.03
,CPTHCPCS,,SURGICAL SERVICES,CATH PERITONEAL STD,2429,1821.75
,CPTHCPCS,,SURGICAL SERVICES,PROBE FLOW COUPLER 3.0MM,4512.5,3384.38
,CPTHCPCS,,RADIOLOGY,SHEATH INTRODUCER  10FR FLEXOR,435,326.25
,CPTHCPCS,,SURGICAL SERVICES,CENTRIMAG BLOOD PUMP,18900,14175
,CPTHCPCS,,RADIOLOGY,INTRODUCER CHECK FLO 5FR 45CM,415,311.25
,CPTHCPCS,,SURGICAL SERVICES,PULMONARY HEMI ARTERY,16200,12150
,CPTHCPCS,,RADIOLOGY,INTRODUCER CHECKFLO II 12FR,330,247.5
