internal_revenue_code,description,code,payer,price,inpatient_outpatient,cms_certification_num,code_disambiguator
Px0000100977L,HC SHEATH TERUMO 9FR 25CM 10/BX,C1894,GROSS CHARGE,98.0,BOTH,500025,NONE
Px0000100982L,HC TRAY PACEMAKER DISP 008566A,NONE,GROSS CHARGE,734.0,BOTH,500025,NONE
Px0000100988L,HC WIRE CHOICE PT .014-300CM H74912154012,C1769,GROSS CHARGE,359.0,BOTH,500025,NONE
Px0000100990L,HC GUIDEWIRE TEFCOR 035 145CM CRV G01678,C1769,GROSS CHARGE,86.0,BOTH,500025,NONE
Px0000102235L,HC CATH KIT MICROSNARE 4MM SK400,C1773,GROSS CHARGE,2735.0,BOTH,500025,NONE
Px0000104016L,HC CATH HICKMAN DUAL LUMEN 13.5FR 0600662,C1750,GROSS CHARGE,889.0,BOTH,500025,NONE
Px0000105907L,HC TRAY THORACENT W/CATH INTRO,C1729,GROSS CHARGE,123.0,BOTH,500025,NONE
Px0000109517L,HC GWIRE URO REG STR .035 3X150 UWR1035,C1769,GROSS CHARGE,298.0,BOTH,500025,NONE
Px0000114857L,HC TUBE TRANSGASTRIC JEJUN 18FR 025018,NONE,GROSS CHARGE,1223.0,BOTH,500025,NONE
Px0000115448L,HC GLIDEWIRE ANG .018X180CM GR1806,C1769,GROSS CHARGE,300.0,BOTH,500025,NONE
Px0000115785L,HC COIL 18-3-4 HILAL,C1889,GROSS CHARGE,3094.0,BOTH,500025,NONE
Px0000115789L,HC WIRE COIL PUSHER-16 M0014012160,NONE,GROSS CHARGE,751.0,BOTH,500025,NONE
Px0000115848L,HC GUIDEWIRE BENTSON .035 145CM,C1769,GROSS CHARGE,74.0,BOTH,500025,NONE
Px0000116130L,HC SET ACCESS INTRAHEPTIC TRANS-J G06541,C1894,GROSS CHARGE,2358.0,BOTH,500025,NONE
Px0000116333L,HC GWIRE BNTSN .035 180CM G01290,C1769,GROSS CHARGE,74.0,BOTH,500025,NONE
Px0000116505L,HC WIRE DOC .014/.018-145CM 22260,C1769,GROSS CHARGE,363.0,BOTH,500025,NONE
Px0000116601L,HC WIRE HTF .014-300CM 22359M,C1769,GROSS CHARGE,363.0,BOTH,500025,NONE
Px0000117030L,HC CATH KIT SNARE GN 6FR 25MM GN2500,C1773,GROSS CHARGE,1368.0,BOTH,500025,NONE
Px0000117228L,HC SHEATH PINNACLE 8FR 25CM RSS806,C1894,GROSS CHARGE,98.0,BOTH,500025,NONE
Px0000117230L,HC CATH GLIDE ANG TAPER 5FR 100CM CG508,C1887,GROSS CHARGE,277.0,BOTH,500025,NONE
Px0000117231L,HC CATH GLIDE ANG TAPER 5FR 65CM CG507,C1887,GROSS CHARGE,277.0,BOTH,500025,NONE
Px0000117521L,HC ACCUSTICK II INTRODUCER KIT M001207030,NONE,GROSS CHARGE,247.0,BOTH,500025,NONE
Px0000117618L,HC COIL VORTX 18-3-3.3 M0013822031,C1889,GROSS CHARGE,404.0,BOTH,500025,NONE
Px0000117619L,HC COIL VORTX 18-4-4.7 M0013822041,C1889,GROSS CHARGE,404.0,BOTH,500025,NONE
Px0000117621L,HC COIL VORTX 18-6-6.7 M0013822061,C1889,GROSS CHARGE,404.0,BOTH,500025,NONE
Px0000118218L,HC WIRE CHOICE EX SUP 182CM,C1769,GROSS CHARGE,359.0,BOTH,500025,NONE
Px0000118901L,HC CATH BLN XXL 14 X 4 X 75 M001145140,C1725,GROSS CHARGE,1149.0,BOTH,500025,NONE
Px0000119320L,HC SHEATH PINNACLE 7F 25CM RSS706,C1894,GROSS CHARGE,98.0,BOTH,500025,NONE
Px0000119347L,HC CATH GDE 8FR MP1.088 588842,C1887,GROSS CHARGE,285.0,BOTH,500025,NONE
Px0000120096L,HC SET BIOP LIVER 18GA 60CM NDL,C1887,GROSS CHARGE,2160.0,BOTH,500025,NONE
Px0000120237L,HC CATH GLIDE C2 5FR 65CM CG502,C1887,GROSS CHARGE,277.0,BOTH,500025,NONE
Px0000120241L,HC GLIDEWIRE TAPER GOLD 018 70DEG,C1769,GROSS CHARGE,1507.0,BOTH,500025,NONE
Px0000120547L,HC TUBE FEEDING MIC-KEY 20FR 4.0 01202040,NONE,GROSS CHARGE,515.0,BOTH,500025,NONE
