cms_certification_num,payer,code,internal_revenue_code,description,inpatient_outpatient,price,code_disambiguator
500064,GROSS CHARGE,NONE,01200001,HC LEVEL-1 ROOM & BOARD,UNSPECIFIED,2831.63,NONE
500064,GROSS CHARGE,NONE,01200002,HC LEVEL-2 ROOM & BOARD,UNSPECIFIED,3250.06,NONE
500064,GROSS CHARGE,NONE,01210001,HC LEVEL-1MEDICAL/SURGICAL/GYN,UNSPECIFIED,6732.27,NONE
500064,GROSS CHARGE,NONE,01220001,HC LEVEL-1 OB ROOM,UNSPECIFIED,2309.63,NONE
500064,GROSS CHARGE,NONE,01220002,HC LEVEL-2 OB ROOM,UNSPECIFIED,3689.2,NONE
500064,GROSS CHARGE,NONE,01220003,HC LEVEL-3 OB ROOM,UNSPECIFIED,5707.8,NONE
500064,GROSS CHARGE,NONE,01240001,HC LEVEL-1 PSYCHIATRIC ROOM,UNSPECIFIED,2896.88,NONE
500064,GROSS CHARGE,NONE,01250001,HC R&B HOSPICE,UNSPECIFIED,1434.46,NONE
500064,GROSS CHARGE,NONE,01270001,HC LEVEL-1 ONCOLOGY ROOM,UNSPECIFIED,3106.09,NONE
500064,GROSS CHARGE,NONE,01270002,HC LEVEL-2 ONCOLOGY ROOM,UNSPECIFIED,5784.44,NONE
500064,GROSS CHARGE,NONE,01280001,HC LEVEL-1 REHAB ROOM,UNSPECIFIED,3403.34,NONE
500064,GROSS CHARGE,NONE,01280002,HC LEVEL-2 REHAB ROOM,UNSPECIFIED,4247.45,NONE
500064,GROSS CHARGE,NONE,01690001,HC ADMIN DAYS ROOM AND BOARD,UNSPECIFIED,2831.63,NONE
500064,GROSS CHARGE,NONE,01700001,HC Nursery General,UNSPECIFIED,1407.0,NONE
500064,GROSS CHARGE,NONE,01710001,HC LEVEL-1 NEWBORN ROUTINE,UNSPECIFIED,2814.0,NONE
500064,GROSS CHARGE,NONE,01720001,HC LEVEL-2 NEWBORN LBW,UNSPECIFIED,6521.0,NONE
500064,GROSS CHARGE,NONE,01730001,HC LEVEL-3 NEWBORN INTERMEDIATE,UNSPECIFIED,8999.0,NONE
500064,GROSS CHARGE,NONE,01740001,HC LEVEL-4 NEWBORN ICU,UNSPECIFIED,9864.0,NONE
500064,GROSS CHARGE,NONE,02000001,HC LEVEL-1 ICU,UNSPECIFIED,6707.26,NONE
500064,GROSS CHARGE,NONE,02010001,HC LEVEL-1 ICU SURGICAL,UNSPECIFIED,7553.43,NONE
500064,GROSS CHARGE,NONE,02060001,HC INTERMEDIATE CARE ICU,UNSPECIFIED,4259.88,NONE
500064,GROSS CHARGE,76499,02200004,HC STUDY CT SEQUENCING,UNSPECIFIED,241.95,NONE
500064,GROSS CHARGE,76498,02200010,HC STUDY UNLISTED MRI UP TO 15 MINS,UNSPECIFIED,787.36,NONE
500064,GROSS CHARGE,NONE,02200013,HC CARDIAC REHAB III,UNSPECIFIED,34.0,NONE
500064,GROSS CHARGE,NONE,02200014,HC CARDIAC REHAB III MONTHLY,UNSPECIFIED,68.0,NONE
500064,GROSS CHARGE,NONE,02500008,HC METOPROLOL TARTRATE INJ 5ML,UNSPECIFIED,60.32,NONE
500064,GROSS CHARGE,NONE,02500010,HC VERAPAMIL HCL INJ,UNSPECIFIED,59.28,NONE
500064,GROSS CHARGE,NONE,02500012,HC FLUORESCEIN 10% 5 ml VIAL,UNSPECIFIED,83.2,NONE
500064,GROSS CHARGE,NONE,02500014,HC INJECTABLE ALLERGEN,UNSPECIFIED,83.2,NONE
500064,GROSS CHARGE,NONE,02550004,HC ETHIODIZED OIL GUERBET NDC=06768419012 PKG=10ML,UNSPECIFIED,5554.64,NONE
500064,GROSS CHARGE,J7042,02580003,5% DEXTROSE/NORMAL SALINE,UNSPECIFIED,57.2,NONE
500064,GROSS CHARGE,J7070,02580004,HC INFUSION D-5-W 1000 CC,UNSPECIFIED,57.2,NONE
500064,GROSS CHARGE,J7120,02580005,HC RINGERS LACTATE INFUSION UP TO 1000 CC,UNSPECIFIED,57.2,NONE
