Chargecode,Description,CPT/HCPCS,Fee
00000F,INVALID PROCEDURE CODE TES - HPA BOUND,,N/A
0001A,"VACCINE ADMIN, PFIZER 1ST COVID VAC IM",0001A,40.00
0002A,"VACCINE ADMIN, PFIZER 2ND COVID VAC IM",0002A,40.00
0011A,"VACCINE ADMIN, MODERNA 1ST COVID VAC IM",0011A,40.00
0012A,"VACCINE ADMIN, MODERNA 2ND COVID VAC IM",0012A,40.00
0021A,"VACCINE ADMIN, ASTRAZENECA 1ST COVID VAC IM",0021A,40.00
0022A,"VACCINE ADMIN, ASTRAZENECA 2ND COVID VAC IM",0022A,40.00
0022U,TRGT GEN SEQ DNA AND RNA 23  GENE,0022U,N/A
0022UT,TRGT GEN SEQ DNA AND RNA 23 GENE,0022U,N/A
0027U,JAK2 GENE TRGT SEQ ALYS,0027U,N/A
0031A,"VACCINE ADMIN, JANSSEN COVID VAC IM",0031A,40.00
0034U,TPMT NUDT15 GENE ANALYSIS COMMON VARIANTS,0034U,"1,283.00"
0037U,TRGT GEN SEQ DNA 324 GENES,0037U,"8,750.00"
0042T,"CEREBRAL PERF ANALYSIS W/CTR ADM, INCL POST PROCESS - FAC",0042T,"1,385.00"
0058U,ONC MERKEL CLL CARC SRM QUAN,0058U,808.00
0059U,ONC MERKEL CLL CARC SRM +/-,0059U,808.00
0065U,SYFLS TST NONTREPONEMAL ANTB,0065U,36.00
0071T,"US ABLATION OF UTERINE LEIOMYOMATA, LESS THAN 200 CC TISSUE",0071T,"6,701.00"
0072T,"US ABLATION OF UTERINE LEIOMYOMATA, GRTR THAN 200 CC TISSUE",0072T,"6,701.00"
0075T,TRSCTH PLCMNT EXTRACRANIAL VERTEBRAL/INTRATHORACIC CA STENT,0075T,"30,985.00"
0076T,"TRNSCTH PLC XTRACRNL VRTBRL/INTRTHRC CA STNT EA ADTNL,TECH",0076T,"30,985.00"
0099U,"RESPIR PATHOGEN 20 TARGETS, (BIOFIRE DIAGNOSTICS)",0099U,855.00
0100T,PROSTH RETINA RECEIVE&GEN,0100T,"361,132.00"
0101T,"EXTRACORP SHOCKWV TX,HI ENRG",0101T,"7,479.00"
0102T,"EXTRACORP SHOCKWV TX,ANESTH",0102T,"7,479.00"
0106T,TOUCH QUANT SENSORY TEST,0106T,155.00
0107T,VIBRATE QUANT SENSORY TEST,0107T,155.00
0108T,COOL QUANT SENSORY TEST,0108T,388.00
0109T,HEAT QUANT SENSORY TEST,0109T,155.00
0110T,NOS QUANT SENSORY TEST,0110T,310.00
0154U,ONC URTHL CA RNA FGFR3 GENE,0154U,875.00
016001,APPLICATION OF AMPUTEE RIGID DRESSING- FAC,29799,488.00
0191T,INSERT ANT SEGMENT DRAIN INT - FAC,0191T,"10,645.00"
0198T,OCULAR BLOOD FLOW MEASURE - FAC,0198T,297.00
0200T,PERQ SACRAL AUGMT UNILAT INJ,0200T,"16,528.00"
0201T,PERQ SACRAL AUGMT BILAT INJ,0201T,"16,528.00"
0202U,NFCT DS 22 TRGT SARS-COV-2,0202U,610.00
0207T,CLEAR EYELID GLAND W/HEAT - FAC,0207T,154.00
0208T,AUTOMATED AUDIOMETRY AIR,0208T,128.00
0209T,AUTO AUDIOMETRY AIR/BONE,0209T,128.00
0210T,AUTO AUDIOMETRY SP THRESH,0210T,128.00
0211T,AUTO AUDIOMETRY  SP THRESH,0211T,128.00
0212T,COMPREHEN AUTO AUDIOMETRY,0212T,402.00
0213T,US FACET JT INJ CERV/T 1 LEV - FAC,0213T,"2,770.00"
0214T,US FACET JT INJ CERV/T 2 LEV - FAC,0214T,640.00
0215T,US FACET JT INJ CERV/T 3 LEV - FAC,0215T,730.00
0216T,US FACET JT INJ LS 1 LEVEL - FAC,0216T,"2,770.00"
0217T,US FACET JT INJ LS 2 LEVEL - FAC,0217T,"1,029.00"
0218T,US FACET JT INJ LS 3 LEVEL - FAC,0218T,922.00
0221T,FUSE SPINE FACET JT LUMBAR - FAC,0221T,"16,528.00"
0222T,FUSE SPINE FACET JT ADD SEG - FAC,0222T,"6,081.00"
0225U,NFCT DS DNA AND RNA 21 SARSCOV2,0225U,610.00
0232T,"INJ PLATELET RICH PLASMA, GUIDED, HARVEST AND PREP",0232T,973.00
0234T,TRLUML PERIP ATHRC RENAL ART - FAC,0234T,"30,985.00"
